,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,
,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked
Argentina,5.882,0,0,16.893,7.059,0,0,16.062,6.975,0,0,16.939,6.8,0,0,15.85,5.407,0,0,18.938,3.487580128,0,0,24.51322115,0.811216825,0.846269404,0,50.03905859,0.155851852,0.832,34.99674074,12.736,0.178390089,0.904136484,32.1511746,13.90562589,0.155719235,1.274341641,33.08848754,15.75152188,0.062436331,0.481416976,52.55035983,18.63034406,0.056256504,0.436394381,55.16909469,21.8096384,0.045148162,0.866399593,55.731591,25.21175124,1.233111047,0.755291389,51.92896492,25.18527109,11.43112513,0.625920084,31.94952681,24.48291272,11.26446905,0.597131354,32.69275289,24.09587318,11.23602557,0.549447995,32.21638582,26.71377106,10.4036604,0.173868836,30.48134215,25.52679207,13.21812631,0.129780478,24.85342169,23.96045224,16.26901455,2.020030234,18.21086073,31.1401644,18.51995458,6.555159922,13.56394195,44.24433648,13.61067169,6.112115505,13.31161331,41.3301946,20.59624934,11.55985209,23.92556788,60.57997887
Australia,2.754615843,59.85705777,2.382370459,0,5.653766523,64.58034719,2.946329033,0,5.223978059,54.06817291,2.938487658,0,2.641439892,43.86018797,3.194299404,0,2.801120448,43.38479578,3.647970816,0,1.387116462,33.2907951,3.273594851,0,0,27.59218646,3.162135972,0,0,29.04939528,3.617045326,0,0,37.66067804,4.961286928,0,0,37.36932439,5.149009206,0,0,35.51812523,4.833394361,0,0,37.87281048,4.73410131,0,0,41.46534306,5.271018185,0,0,33.90993959,4.118616145,0,0,70.55435565,5.399568035,0,0,126.8436578,11.59597193,0,0,163.9377606,14.13607241,0,0,213.1811105,16.70991178,0,0,208.79907,16.36412412,0,0,238.1693139,19.24021615,0,0,244.9755171,20.09793174,0,0,278.1829999,21.80977829,0,0,362.6133167,26.10190685,0
Belgium,8.098961756,224.5885136,0,14.96740702,7.04610951,221.7113144,0,13.20824458,5.625883392,200.0862412,0,12.34816696,5.428654766,220.8951114,0,10.64916579,2.586899739,201.8311232,0,8.778581475,2.031450637,194.9808319,0,7.629850191,1.919714462,190.6775359,0,5.482153873,2.279047819,232.3324245,0,4.983011745,2.566557211,280.9209396,0,3.711922203,2.76123672,300.909289,0,2.462952874,2.385631709,264.5846408,0,2.73398608,0.022915844,296.4518636,0,2.748452522,4.581775357,336.1182099,0,2.737671132,4.324843424,321.9864997,0,3.897703549,4.652837799,355.3310285,0,7.182224143,4.54970604,350.799706,0,8.07282202,4.618967525,363.3563204,0,8.103118127,6.62752342,386.9547434,0,7.339094867,10.79713143,417.8931182,0,7.00206868,9.953866699,374.495326,0,6.776981911,8.491017964,344.9232444,0,6.25955362,5.163908506,347.5680405,0,9.040581849,5.218277764,398.3559607,0,10.69033341
Brazil,29.07479909,20.14218009,0.463630744,4.759942304,15.51043972,46.22341961,0.192437217,20.96603483,76.69502911,54.7156292,0.107478728,31.18674429,140.3061647,4.013239553,0.11584609,22.17625155,152.1282477,21.973466,13.61525705,21.63073521,149.3188716,38.65761199,15.54507686,14.3812469,151.5284784,8.065843635,18.78872172,16.700129,84.27114104,2.180789786,22.08190901,20.42371781,158.5684833,7.488931277,34.09597526,16.50937653,175.5931681,17.56383194,45.40333333,10.58796553,226.592439,88.24767715,65.32982885,8.402495084,204.9139867,149.4606162,115.3293451,6.622206034,246.9065154,238.57859,182.7201378,6.583946515,202.9755577,163.2145394,159.2371504,5.757989271,296.5468761,261.2675785,229.5448931,5.63321467,322.4124011,353.6106858,271.9155251,5.513022501,301.2298175,354.0751807,282.6667254,5.446816093,212.9164913,373.0198935,331.9094274,5.314494008,171.697442,346.9171433,310.2975,4.838873097,161.5005191,327.9845518,302.1170255,4.851574813,160.6499729,247.3354095,229.3675796,4.544982258,270.0929602,319.7083303,304.5013899,4.612167614,338.5775831,369.6279489,317.5372322,4.522015153
Canada,0,179.3027523,4.036697248,0,0,197.5912409,5.109489051,0,0,202.4141781,6.140106056,0,0,186.6925065,6.718346253,0,0,199.7111615,7.83990097,0,0,191.8310235,8.728678038,0,0,170.7882051,9.077818819,0,0,168.8739624,10.07540714,0,0,199.0664385,13.48218453,0,0,199.9419184,15.54098905,0,0,201.6073577,17.30273337,0,0,198.8623632,18.68482289,0,0,225.8176261,24.27916454,0,0,190.4945145,21.31160963,0,0,299.8666794,26.88315399,0,0,364.1524574,30.52156469,0,0,392.7151669,31.94947616,0,0,417.7362659,34.98041579,0,0,406.9843956,34.80917466,0,0,373.7287404,33.86860054,0,0,319.4612504,29.84010372,0,0,352.897474,32.41456166,0,0,408.2216906,36.54704944,0
Chile,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0.363518451,...,...,0,1.16940857,...,...,0,2.092471947,...,...,0,2.030817881,...,...,0.346295026,2.759388488,...,...,0.588132441,3.875013909,...,...,1.540193117,6.885433327,...,...,2.465999103,12.3361872,...,...,3.940858359,16.57043685,...,...,5.333326369,21.68242791,...,...,6.28010921,21.98590958,...,...,7.974760447,21.86711778,...,...,9.430698108,21.67961659,...,...,17.48714952,25.75342055,...,...,...,...,...
Chinese Taipei,0,29.50164896,0,0,0,34.01526163,0,0,0,29.73780488,0,0,0,30.04028509,0,0,0,37.67888624,0,0,0,42.56591826,0,0,0,50.56452211,0,0,0,61.11568274,0,0,0,73.65067411,0,0,0,85.78990714,0,0,0,91.74923722,0,0,0,99.41656871,0,0,0,105.121352,0,0,0,109.9261515,0,0,0,119.7637,0,0,0,143.6579325,0,0,0,148.8665661,0,0,0,164.4272775,0,0,0,169.9671683,0,0,0,168.612786,0,0,0,166.6600759,0,0,0,170.9378248,0,0,0,188.6693195,0,0
Colombia,...,...,...,...,0,4.668496911,0.679796684,0.517639979,0,5.712371867,1.41749254,0.302317599,0,4.62338614,3.774069295,0.966628191,0,5.56055439,3.997923971,1.503706431,0,5.994850124,4.893279143,1.385658852,0,5.929913844,6.862009969,2.033360539,0,7.123384262,6.554407129,1.419597946,0,9.702722256,7.502564601,0.967563647,0,15.06735014,8.778324092,0.66889591,0,23.80344275,9.783689837,0.701694233,0,27.41891825,10.1545031,0.488596519,0,33.26569914,11.43376879,0.345315015,0,33.0274248,12.25272889,0.1446395,0,41.40556591,14.28616154,0,0,51.79359241,16.83460642,0,0,56.60925516,18.00066917,0,0,63.38315717,21.55675449,0,0,69.53908752,19.34721797,0,0,60.29149913,20.32619145,0,0,45.07107545,18.25449996,0,0,53.25489634,23.49804213,0,0,60.01273458,25.4547252,0
Czech Republic,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,2.003467111,0.13912966,0,0,2.628455822,0.132750294,0,0,3.998136041,0.13786676,0,0,7.39286165,0,0,0,12.44188285,0,0,0,17.56784333,0,0,0,19.83130276,0,0,0,28.22000633,0,0,0,39.16286128,0,0,1.445240771,36.53397304,0,0,5.027872706,39.64062602,0,0,4.9262719,43.30409909,0,0,7.283345961,42.10393032,0,0,9.175895082,47.04044066,0,0,10.4164052,45.23067137,0,0,10.83254757,41.36612079,0,0,11.23463719,39.19311237,0,0,8.251371215,43.18161285,0,0,7.836278157,54.38094366,0,0
Germany,61.44697069,639.1917466,0,0,58.97757173,638.3786493,0,0,55.47924028,605.1093198,0,0,58.59759655,681.7197527,0,0,50.29736789,628.5282299,0,0,41.55206104,608.4870196,0,0,9.126641403,594.9977968,0,0,9.243917785,738.5759228,0,0,9.854761303,928.133367,0,0,2.060746391,1079.916916,0,0,0.358617435,985.6505839,...,4.680901262,0.267351508,1142.030818,11.85302252,5.227182932,0.150154571,1302.168409,22.07272192,5.841307228,4.167014614,1231.021573,30.41475296,5.522616562,3.195044656,1297.428695,38.68193604,9.65715932,69.06333511,1297.469268,50.57856761,3.655799038,151.5047225,1306.636046,58.57808255,5.894682365,95.45322602,1375.951973,71.56880855,14.81593878,55.51785961,1475.680596,73.51399807,24.47662391,43.24389948,1312.116062,78.35741168,25.12201044,32.40936309,1159.576483,82.98203593,26.35710397,28.36196901,1115.102772,72.15558132,30.06113629,25.32022068,1275.85752,89.49868074,38.75269849
Hong Kong SAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325031518,0,1.260709599,0,1.32834666,0,1.263863812,0,0.990239072,0,1.260304273,0,0.987382027,0,1.256668034,0,0.645152966,0,1.264499813,0,0.90272494,0,1.263814916,0,3.280797684,0,1.260855581,0,5.084963955,1.287332647,1.261585994,0,6.257660796,2.580478679,1.264434553,0,7.931594831,3.869070649,1.263896412,0,8.766953741,3.867773709,0,0,9.083636551,3.870867849,0,0,9.00006447,4.255044807,0,0,10.28843447,3.314309114,0
Hungary,...,2.60271026,...,...,...,2.952208737,...,...,4.680585081,4.04274787,0,0,4.973176375,5.825615233,0,0,4.263732987,6.6685415,0,0,3.816805955,7.430657555,0,0,3.913693145,9.435206775,0,0,4.715576403,16.1669931,0,0,4.227320732,24.07109366,0,0,4.422933689,32.46954976,0,0,3.352910249,29.84962522,0,0,2.705455322,38.44759593,0,0,2.815051358,48.89904339,0,0,2.219310454,45.11154214,0,0,2.410588477,40.44408101,0,0,2.843060102,37.96163071,0,0,2.645137036,29.70360152,0.525654662,0,3.157893311,36.00251151,1.156901166,0.40579561,2.837685503,38.16622003,1.598983782,2.008015347,6.071269992,33.96548314,2.178562057,3.651073005,6.56879003,33.41486466,2.628549653,2.894539997,6.135505744,35.29157601,3.641701979,1.82357274,7.110855533,42.99787486,7.785613889,2.733041866
India,0,37.21091529,0,...,0,45.61502086,0,...,0,46.84503817,0,...,0,50.77610536,0.165804327,...,0,65.47920018,0.162031717,...,0,76.10428344,0.151051576,...,0,106.9713906,0.146209442,...,1.741124954,127.3419173,0,...,5.341282741,149.9507549,0,...,10.65380089,163.7950057,0,...,10.29485257,181.2471542,0,...,10.03280172,210.0328017,0,...,11.28332205,269.7347465,0,...,9.152519987,267.0108922,0,...,9.959988138,365.3648128,0,...,11.03476342,452.2761575,0,...,9.104552653,464.8504951,0,...,7.882577776,534.7712689,0,...,6.357048003,548.5948856,1.050084168,...,5.435986707,609.4135211,1.028643773,...,3.378495836,645.9275959,0.511529967,...,8.845818039,675.5470832,0.169613555,...,19.46217483,772.9781082,0.180438261,...
Indonesia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29.04338051,7.30618429,0,0,22.49735938,18.39344926,0,0,20.96217774,16.75836252,0,0,26.76735876,17.2551464,0,0,27.46503616,18.87287916,0,0,23.74285182,19.2392978,0,0,21.43269045,19.24272995,0,0,20.03521343,26.16122639,0,0,17.95317445,32.91151275,0,0,15.39955658,28.23025556,0,0,15.14868529,45.13633934,0,0,5.162211863,52.62606049,0,0,14.89655882,64.78438138,0,0,12.73896475,69.99625526,0,0,10.96901099,68.63623597,0,0.190509968,10.26574497,84.2304314,0,0.540977983,7.331668282,95.05410571,0,1.038522046,6.332410514,122.5679935,0,1.239074698,5.151737913,146.5260814,0,0.200110799
Israel,2.523125997,1.116108453,26.94258373,3.209569378,3.851737927,3.038449708,27.25284528,3.578591203,3.646776018,3.571549774,27.78959276,3.068438914,3.29375,3.820192308,23.86081731,4.136778846,3.39056104,5.283168794,24.09222249,4.893089333,4.716547118,7.135048232,22.80163245,4.24659906,6.766063914,9.295121119,21.86239054,3.244853861,7.875316456,9.815611814,20.68544304,3.208016878,10.98261286,16.14566005,24.59061596,1.303010277,13.20842388,19.11738869,26.05737667,0.074899441,12.46303493,20.40884122,23.80897583,0.073387324,11.5226133,24.37624184,26.73857508,0.075219983,13.0546515,27.70849064,29.29674278,1.129481605,12.4731098,35.20841552,34.53333333,1.101380671,12.44345804,41.27774255,42.16101247,1.214859438,11.94070309,50.9004659,45.77410702,1.13737117,8.055729984,53.08869702,44.59131345,1.21559393,8.937697541,60.54882949,52.39781432,1.182568168,11.13601014,67.07586843,59.08721701,1.14522726,11.10862464,61.66087918,53.7960748,1.067983641,11.18375192,63.96360841,52.64941056,1.042029728,11.35911458,64.27213542,54.23151042,0,9.946422399,72.6780159,59.07276184,0
Korea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76.06490783,0,...,...,107.1384588,0,...,...,164.6829656,0,...,...,212.8196087,0,...,...,273.4439892,0,...,...,287.3666645,1.983867323,...,...,212.3784136,1.342415041,...,...,281.6893072,1.533095637,...,...,320.573099,2.621485485,...,...,338.909052,3.506944043,...,...,390.3809515,7.116520371,...,...,435.9335327,7.704778902,...,...,459.415126,7.689290489,...,...,474.4393762,6.815013142,...,0,493.0111564,9.122479337,0,0,592.8493752,9.838569077,0
Malaysia,0,27.48031496,0,0,0,28.14726841,0,0,0,17.76061776,0,0,0,20.26315789,0,0,0,21.14660417,0,0,0,24.45888015,0,0,0,28.27506318,0,0,0,30.12682208,0,0,0,36.24408206,0,0,0,42.96494965,0,0,0,46.59593046,0,0,0,56.14730878,0,0,0,69.57967947,0,0,0,75.48153512,0,0,0,78.85514019,0,0,0,112.8984892,0,0,0,123.5423889,0,0,0,145.3564421,0,0,0,149.6797804,0,0,0,154.3321042,0,0,0,136.1370644,0,0,0,139.277753,0,0,0,165.2087966,0,0
Mexico,0,0,5.322997416,9.521963824,0,0,3.935758268,15.13362534,0.955287579,0,6.401667411,18.33655898,6.653185035,0,6.905965622,16.82507583,17.04186164,0,8.241642427,36.69744109,23.87356394,3.461145514,8.913492212,39.09426409,37.9172873,12.03671252,9.977657058,23.24104092,32.54748122,20.44204181,8.864756255,22.76611013,31.59301021,29.70662107,7.468960972,18.37581717,27.78329531,38.28210978,7.565874827,3.661253523,26.93518172,50.62663919,8.929374297,...,38.6910961,69.69392551,14.31573321,...,45.0973568,86.23175132,21.55312952,...,35.61722142,80.46164978,24.23516643,...,37.31633041,95.06128664,33.04606014,...,32.36030362,120.6831395,42.93846899,...,50.2989033,117.471149,46.4446993,...,70.05950324,139.0018811,57.95692733,...,81.45364365,155.2361694,68.58298359,...,79.05143711,160.7161786,69.86478222,...,71.26370622,150.4221947,69.95654301,...,56.21922583,131.7674115,60.4357404,...,63.96610101,142.2444904,72.27155688,...
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050975091,0,0,0,0.255966913,0,0,0,0.264254198,0,0.348482648,0,0.611902625,0,0.53614115,0.014001138,0.639822358,0,0.710685921,0.057530686,0.627109086,0,0.818786531,0.324296206,0.611525839,0,2.360775802,0.577194752,0.382466036,0,3.044811767,0.635985292,0.302588852,0,5.563851469,0.708374833,0.126118158,0,5.42825641,0.675996496,0.125970059,0,6.542644056,0.731265271,0.125971794,0,9.260487093,0.766562578,0.126017269,0,9.901471068,0.775478858,0.126136869,0,11.62033059,0.819878824,0.12595,0,11.78952942,0.818178891,0.126175313,0,13.52902117,0.883953434,0.125739028,0,13.14842668,0.825509749,0,0,17.70891612,1.072294994,0,0,25.49614754,1.135293646,0
