,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,
Philippines,6.709773404,18.54200046,...,0,4.226262934,22.57608034,...,0,1.872670419,15.76610381,...,0,2.090171279,18.07905988,...,0,2.061061111,20.76947939,...,0,1.674067442,18.96550346,...,0,1.766983211,21.85744654,...,0,1.801026764,25.14286991,...,0,1.778109757,28.5516298,...,0,1.699643586,33.05216608,...,0,1.699608014,38.4422517,...,0,1.742974379,41.75227862,...,0,1.475058121,51.34431841,...,0,1.278663056,49.35164448,...,0,1.258496476,38.56501077,...,0,1.306404591,48.19486973,...,0.501934396,1.278991033,56.79540931,...,0.498031357,1.353368058,75.45941359,...,1.002223913,1.2353374,74.89429877,...,0.641295372,1.242291437,77.0332207,...,0.640103487,1.208268312,75.55092552,...,0.503800922,1.147515196,71.87196231,...,0.502163943,1.143239942,81.10785967,...,0.501421027
Poland,2.714748784,2.309562399,0,0,4.347070075,3.651538863,0,0,3.272623791,4.667046101,0,0,4.764621969,7.931526391,0,0,4.32398483,12.73039109,0,0,4.519855945,18.22444589,0,0,4.387181362,24.58334384,0,2.143163309,4.172860757,34.89554808,0,1.069295569,4.163532825,45.39593854,0,0,7.669990329,66.99569814,0.867042385,0,9.749388753,73.8997555,1.436430318,0,13.33837533,93.43738183,2.23452164,0,21.83441891,118.5121462,3.359141371,0,18.46205395,98.84402748,3.618696599,0,18.11034676,120.3495718,3.825635266,0,21.98393223,131.4329893,5.008571717,0,18.45939514,119.2604632,6.008010681,0,32.06166202,128.8619729,7.481054472,0,38.0108223,139.8267105,9.992364638,0,29.91817252,105.0971701,2.216160927,0,30.9204647,98.1999234,1.966041108,0,34.60885776,102.1773943,1.051650374,0,46.11099945,126.4750639,1.292026759,0
Russia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19.22916691,0.868687641,6.999589077,...,24.25717192,0.838152408,7.005155618,...,32.33648937,0.915195613,5.257227543,...,41.86151873,0.98584928,4.353879257,...,37.75382201,0.812423265,1.781719745,...,48.25973775,0.80450667,1.792403758,...,66.45246601,0.788871758,1.739110225,...,86.10048391,0.746613215,0,...,103.7946294,0.788427854,0,...,109.8646734,0.73328039,0,...,58.24542084,0.323587297,0,18.18140603,47.05826744,2.107913399,0,28.33988728,60.81291822,2.83828744,0,30.0581389,83.13870402,2.930284443,0
Saudi Arabia,0,69.05745901,0,0,0,79.45607252,0,0,7.199040128,83.98880149,0,0,12.26339643,92.24206878,0,0,12.26568541,125.5899528,0,0,13.06387971,131.971846,0,0,14.13220276,114.1242034,0,0,11.99840021,147.7136382,0,0,12.53266492,158.6582049,0,0,17.06575649,145.5922351,0,0,19.73175479,95.99232061,0,0,19.19795222,77.85836177,0,0,16.26406442,54.92454541,0,0,15.45389145,47.69390637,0,0,10.66467593,49.32412616,0,0,6.746306864,37.78465149,0,0,3.813129966,32.31827636,0,0,0,22.07646777,0,0,0,16.29072682,0,0,0,11.79917432,0,0,0,37.89008414,0,0,24.52352392,32.38704518,0,0,24.53333333,44.66666667,0,0
Singapore,...,9.045936396,...,...,...,10.36084316,...,...,...,8.896797153,...,...,...,12.17443973,...,...,...,13.88137732,...,...,...,17.25331795,...,...,...,21.07880229,...,...,...,23.79854789,...,...,...,27.02702703,...,...,...,31.81595693,...,...,...,34.07861522,...,...,...,39.11597888,...,...,...,45.35336672,...,...,0,47.70833333,0,0,0,51.07718647,0,0,0,58.64004991,0,0,0,61.08162166,0,0,0,67.64392761,0,0,0,68.10802249,0,0,0,68.12339332,0,0,0,68.63922039,0,0,0,69.8865209,0,0,0,79.70960257,0,0
South Africa,0,65.94283833,0,...,0,57.42113022,0,...,0,60.68986848,0,...,0.69165247,53.63432709,0,...,0.878432137,52.92168802,0,...,0.760079313,43.33884997,0.24010575,...,0.485847064,28.69388236,1.187114491,...,0.680945175,35.85699334,2.833430334,...,1.145067112,50.28006393,4.793766588,...,1.558763617,63.02951593,7.518082831,...,1.75433051,58.50110862,8.262007828,...,1.94424589,53.40015727,8.649925606,...,0.704504425,54.34908745,9.605843217,...,0.831291768,39.94591838,8.625927292,...,1.054173937,57.12560441,16.09057869,...,1.176763021,79.5381067,24.96072539,...,0.03332532,79.03090197,25.81008934,...,0,90.30450966,30.79664001,...,0,85.61169721,27.19659809,...,0,87.29465,30.21609791,...,0,72.38102592,25.64957595,...,0,91.28888131,33.3290902,...,0,113.0660247,39.70656371,...
Spain,2.102773032,165.9876462,0,0,2.004761308,182.6838742,0,0,1.766784452,191.8065371,0,0,1.750087504,229.6114806,0,0,1.506931887,218.6055857,0,0,1.302689123,220.2475109,0,0,1.410064334,219.441262,0,0,1.15352349,270.5536913,0,0,3.283657489,320.7880778,0,0,4.358485426,358.3492236,0,0,4.954582989,320.1604341,0,0,6.716712762,353.8785724,0,0,5.741204181,388.9297807,0,0,4.175365344,409.7425191,0,0,9.795447998,540.3341976,0,0,9.887760556,580.0374131,0,0,9.056799068,653.5127442,0,0,3.034701148,834.5428157,0,0,24.41042615,962.4879327,0,0,18.69612723,855.7727328,15.05402452,0,9.363091998,818.726184,22.64561786,0,3.056814588,819.6479393,30.35733108,0,0.239865675,982.1300072,49.17246342,0
Thailand,0,1.696388889,0,0.008611111,0,0.69582846,0,0.008031189,0,0.289700855,0,0.004209402,0,11.27638356,0,0.009315068,0,15.68770741,0,0.006573006,0,15.21228343,0,0.005404082,0,15.98643581,0,0.005657401,0,25.84010645,0,0.005494225,0,27.94191881,0,0.005350779,0,32.40669931,0,0.004545303,0,33.13526731,0,0.003848149,0,42.55766279,0,0.004167547,0,59.1457783,0,0.003831495,0,53.33535092,0,0.002651679,0.840595983,63.86974365,0,0.002401703,2.528032891,81.40122876,0,0.002062343,2.619932955,79.0281627,1.262618292,0,4.704085704,94.17491285,0,0,3.536432736,98.24207088,0,0,3.379157401,98.62436534,0,0,0.800270733,96.26957335,0,0,0,112.2135971,0,0,0,131.7284756,0,0
Turkey,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14.92070353,44.26606052,0.246638843,3.945953197,26.15807011,3.514251996,14.94453315,27.86886498,25.73118928,9.039944488,12.77523683,29.10607615,30.31339559,51.89726955,24.04220432,30.92015399,42.00037089,68.46472814,24.82708998,30.75617536,57.61268336,78.48273818,20.47888576,28.22929323,57.78640571,91.67738289,13.16540663,24.54907087,76.89806241,119.4418724,19.27357682,22.46896433,67.27979275,92.08419689,14.04507772,14.97959845,87.10770877,93.34759644,25.17777629,11.42294578,80.06327888,103.1129334,34.24213857,3.547853038,59.32899057,100.4104438,34.05486707,1.983232708,60.70980392,116.6442577,42.75014006,0,44.85955187,98.29039922,44.81296874,0,33.81634228,101.2308154,43.2478779,0,28.88610892,88.01658841,34.085067,0,23.56677756,79.42619921,30.37248713,0,17.80104988,91.90456092,31.5397399,0
United Kingdom,0,...,...,0,0,...,...,0,0,...,...,0,0,287.2973867,101.8855442,0,0,...,...,0,0,...,...,0,0,...,...,0,0,...,...,0,0,...,...,0,0,497.488408,165.7650696,0,0,507.4883801,178.343949,0,0,632.0847225,226.7111198,0,0,678.24167,272.9827379,0,0,690.0935126,240.0642899,0,0,1104.947283,296.025953,0,0,1240.298044,348.9599503,0,0,1380.885998,399.1635688,0,0,1579.30477,476.1519806,0,0,1737.303557,521.0918114,0,0,1687.139517,551.0522214,0,0,1616.73094,564.5209137,0,0,1384.880571,477.0992366,0,0,1559.070019,546.4990538,...
United States,0,2531.5,0,0,0,2667.28,0,0,0,2693.38,33.04,0,0,2581.83,67.64,0,0,2428.17,100.74,0,0,2183.82,121.21,0,0,2016.69,140.06,0,0,2169.65,146.85,0,0,2470.19,176.19,0,0,2696.67,245.94,0,0,2877.41,328.68,0,0,2972.54,411.12,0,0,3047.02,471.66,0,0,3386.87,530.11,0,0,4899.04,568.06,0,0,6464.39,616.11,0,0,7669.17,738.76,0,0,8567.28,849.84,0,0,9289.89,972.6,0,163.99,9805.35,1077.55,0,328.04,10181.6,1167.9,0,335.06,10508.02,1247.2,0,343.05,10842.27,1327.53,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0.7,1.3,1,1.1,12,19.7,12.8,19.8,12.4,19.2,12.2,13.42,11.96,13.49,11.91,14.11,12.12,15.5,11.84,15.16,10.94,14.27,9.77,11.93,8.15,12.94,7.02,10.29,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,9,6,9,5.6,9.1,5.2,9.7,5.1,10.2,5,10.7,5.1,11.2,4.9,11.6,5,11.7,4.8,11.7,4.9,11,4.7,11.1,5.6,10.6,5.4,9.9,5.2,7.6,5.1,7.3,4.9,7.2,5,7.9,5.3,8.5,6,9.2,6.5,9.6,6.8,10.1,7,10.4,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,...,4.8,...,4.6,...,4.4,...,4.9,8.8,5.1,9.5,5.5,9.5,5.4,9.7,5.4,9.6,5.3,10.3,6.1,10.6,6.2,11.1,6.3,10.8,6.1,10.2,5.6,10,5.5,10.2,5.8,10.6,6.2,11.2,6.8,11.8,7.2,12.4,7.5,13.7,8,14.6,8.8,15.2,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,...,0.69,...,0.81,...,4.26,...,1.63,...,2.26,...,2.69,...,3.32,...,2.94,...,2.67,...,2.36,...,2.29,...,2.59,...,3.04,...,3.28,...,3.37,...,3.36,...,3.49,...,3.84,...,4.06,...,4.28,...,4.44,...,4.44,...,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,...,4.9,...,5.5,...,5.8,...,6.3,...,6.17,...,6.5,...,6.42,10.2,6.42,10.1,6.65,9.9,6.85,10,6.71,10.3,6.75,11,7.1,9.1,6.22,9,6.03,9.1,6,9,5.82,8.9,5.76,9.6,5.88,10.2,6.55,10.3,6.5,10.3,6.48,10.6,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19.8,19.8,19.4,19.2,14.7,16.9,...,15.9,14.7,14.8,20.8,16.5,11.6,14,14.1,13.5,10.81,11.992807,16.27,11.409113,17.05,11.27,17.5,12.6,16.55,11.46,16.4,13.3,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,7,4.5,8,5.4,9,6.2,9.6,6.6,9.8,7.1,11.7,8.8,13.3,10.4,11.8,8.9,11.8,8.5,12,8.5,12.4,8.4,12.5,8.2,12.6,7.9,12.6,7.6,12.4,7.2,12.7,7.6,13.5,8.2,14.1,8.8,14.5,9.1,15,9.5,15.4,9.7,16.1,10,16.3,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,3.1,...,2.9,...,3,...,5.4,...,5.1,...,5.1,3.6,5.9,4.4,6.4,4.5,6.5,4.2,6.8,4.1,6.8,3.8,7.5,3.9,7.7,4.1,8.2,4.4,8.8,5.1,9,5.1,9.9,5.2,10.6,5.4,10.7628,5.56426,10.9914,5.89122,11.7559,6.28033,12.41475,6.514819,12.8226,6.53635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,...,...,...,...,...,...,...,...,4.15,2.05,5.22,3.37,6.9,4.77,7.08,4.88,7.55,5.33,6.99,4.84,7.23,4.81,7.97,5.31,8.83,5.82,9.38,5.9,9.72,6.04,9.51,5.78,9.19,5.42,9.47,5.27,10.04,5.4,10.49,5.21,10.49,4.98,10.86,5.05,11.07,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.6,6.4,11,6.6,10.4,6.2,10.6,6.2,10.8,6.3,11.1,6.5,11.3,6.5,11.6,6.5,12,6.6,12.2,6.7,12.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong SAR,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.7,7.2,7.7,6.2,8.5,6.1,8.5,5.1,9.3,4.9,8.2,4.5,6.9,4.4,5.7,3.5,5.6,3,5.5,2.4,5,2.6,5.4,2.8,5.8,3,6.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,...,5.1,...,7.3,...,5.7,...,4.6,...,3.9,...,3.9,...,3.7,...,3.7,...,4,...,4.1,...,4.1,...,4,6.8,4,7.1,3.8,5.3,2.7,6.4,2.9,8.5,3.6,8.2,3.2,7.7,3.1,7.9,3.6,7.6,3.6,7.1,3.4,6.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,...,...,...,...,...,...,6.6,6.5,7.7,6.3,12.6,7.1,14.3,8.2,13.8,8.9,14.94,9.78,14.13,9.63,16.9,9.92,14.72,9.97,14.9,10.59,13.81,10.45,11.16,9.82,11.62,9.78,12.66,9.6,13.5,9.67,14.23,10,14.66,10.23,16.03,10.5,14.76,10.65,14.13,10.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,...,...,...,...,...,...,...,...,8.89,7.02,5.64,6.01,...,5.11,13.06,7.57,7.79,7.76,7.9,8.41,7.64,7.56,11.47,7.12,12.05,8.21,12.05,8.21,12.55,7.93,13.11,8.58,14.29,9.166,14.6,9.9,14.5,10,14.2,9.7,13.9,9.3,14.1,9.1,13.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,8.493,6.8,7.785,6.6,8.003,6.5,8.034,6.4,8.284,6.3,8.505,6.2,9.151,6.5,9.424,6.6,9.535,6.6,9.716,6.2,9.981,6.1,10.547,6,11.015,6.2,11.216,6.2,11.262,6.3,11.208,6.2,11.022,6.3,11.3,6.7,11.808,7,12.339,7.1,12.331,6.768,12.928,7.115,13.44,7.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.41,3.66,5.45,3.68,5.84,3.98,6.08,4.07,6.6,4.2,7,4.4,7.5,4.5,7.6,4.6,8.1,5,8.6,5.3,9.05386,5.68047,9.7,6.2,10.2,6.8,10.7,7.2,11.4,7.8,12.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,...,...,...,...,...,...,...,...,...,...,...,5,...,4,...,4,...,5,...,5,8.6,5,8.4,5.2,10,5.4,9.7,5.3,9.2,5.3,8.7,4.5,9.2,5.1,9.5,5.5,9.6,5.8,9.7,6.2,8.6,5.4,8.1,5.1,11.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,...,0.84,...,0.85,...,0.96,...,1.14,...,1.52,...,1.48,...,2.04,...,2.35,...,2.49,...,2.93,...,3.32,...,4.27,...,5.58,...,6.44,...,6.3,...,7.14,...,7.54,...,7.88,...,7.83,...,8,...,7.8,...,7.89,...,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,...,...,...,...,...,...,...,...,...,...,...,...,3.307086688,2.182808219,4.181535765,2.332760893,4.831315212,3.057514529,5.75774804,5.577837781,11.3890975,10.53272888,12.72890968,11.44458262,13.58060977,11.68051822,15.0784783,12.58531145,16.26877436,13.27818661,17.455112,13.96340535,17.40170502,13.3927147,17.6256172,13.15552557,17.87758042,13.55117941,17.71605846,13.52775349,17.47641841,12.9327871,15.57232014,12.77646098,14.99626785,12.46985954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,9.4,6.7,9.1,6.9,9.3,6.9,9.4,6.5,8.7,5.8,8.6,5.8,7.7,5,7.1,4.2,7,4.2,7,3.9,7.2,4.1,7.9,4.7,7.8,5,8.1,4.9,6.62,4.09,8.55,6.1,11.1,8.69,12.5,10,12.5,9.6,12.6,9.2,13,9.2,12.9,8.7,12,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,1.7,1.2,2.2,1.5,2.4,1.5,2.8,1.8,3.9,2.5,4.2,2.6,4,2.5,4.3,2.7,4.4,2.7,5.4,3.2,6.2,3.6,6.9,3.9,8,4.3,8.6,4.2,7.9,4.1,7.5,4.3,7.5,4.3,8.5,4.5,8.4,4.5,8.4,4.2,8.4,4.3,8.4,4.4,8.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.08,7.43,11.35,7.21,11.97,8.01,12.98,8.8,13.47,9.36,11.25,7.4,9,5.58,9.03,6.15,9.54,6.52,9.94,6.67,10.4,6.3,10.75,7.32,10.56,6.89,10.05,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,...,6.5,...,6.5,...,6.2,...,6.2,...,6.9,...,6,...,6.3,...,6,...,5.5,...,5,...,5,...,4.4,...,4.2,...,3.5,...,3.3,...,3.1,...,3.1,...,3.5,...,3.1,...,3.2,...,4.8,...,6.9,...,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,3.4,2,3.6,2,3.5,1.8,3.8,2.2,3.7,2.3,4.3,2.7,5.2,3.3,5.5,3.3,6.1,3.5,6,3.5,6.2,3.6,6.4,3.2,6.8,3.6,5.93,3.6,5.37,3.19,5.44,3.25,5.55,3.32,5.98,3.67,7.37,4.52,9.94,6.25,10.13,6.16,10.5,6.64,10.83,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,...,...,...,...,15.6,10,16.4,10,16.8,9.5,17.6,9.2,17.1,8.6,17.3,9,16.6,8.3,15.4,8.3,16,8.2,16.8,8.4,17.4,8.5,18.3,10,18,10.6,18.2,10.6,19.5,11.6,20.5,12.3,21.5,13.3,21.3,14.2,22.8,15.7,23.5,16,24.5,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,4.9,3.3,5,3.4,5.7,3.9,7.2,5,7.9,5.4,8.4,5.7,9.3,5.9,9.6,5.9,9.9,6,10.3,6.2,11,6.6,11.4,6.7,12.2,6.8,11.7,6.6,10.8,6.4,10.8,6.6,10.6,6.4,10.4,5.9,9.9,5.6,10.2,6,10.8,6.3,11.6,6.7,12.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8.515,6.008,8.71,5.96,8.62,5.6,8.757584296,5.372286052,9.711,5.83,10.2,5.8,10.15,5.84,10.34,5.95,11.23,6.62,12.01,7.73,13.08,8.3,14.94037693,9.793850032,16.40520306,10.64353864,16.84081865,10.91158126,18.19850305,15.17827377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,...,...,...,...,...,...,...,...,...,...,1.73,0.96,3.15,2.71,3.18,2.41,2.87,1.87,2.78,1.61,3.25,1.83,3.48,1.89,3.84,1.07,3.89,1.86,3.97017,1.92001,4.22964,2.47645,4.50505,2.49822,5.10439,2.72432,4.7,2.3,6.7305,4.50533,7.19867,4.52652,7.41527,4.26456,7.49055,4.20766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,...,9.7,...,...,...,...,...,9.3,...,9.8,...,11.1,...,11.3,...,11.4,...,11.8,...,12.1,...,13.1,...,13.9,...,14.5,...,14.5,...,13.5,...,13.4,...,14.5,...,14.6,...,14.7,...,15.8,...,15.8,...,17.5,...,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,...,5,...,5.1,...,5.2,...,5.4,...,5.6,...,5.8,...,5.5,...,5,...,4.7,...,4.5,...,4.5,...,4.5,...,4.6,...,4.2,...,4.6,...,4.9,...,5.2,...,5.4,...,5.6,...,5.7,...,5.6,...,5.6,...,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
